2009-06-26 19:02:47 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\file.php, line 96]
2009-06-26 19:02:47 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\file.php, line 97]
2009-06-26 19:03:22 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\file.php, line 96]
2009-06-26 19:03:22 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\file.php, line 97]
2009-06-27 13:49:06 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 13:49:34 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 13:49:37 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 13:51:08 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 14:02:30 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 14:04:52 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 14:12:12 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 16:18:02 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 16:22:36 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 16:23:46 Debug: Notice (8): Undefined index:  dirFormat in [APP\models\behaviors\fg_upload.php, line 43]
2009-06-27 16:39:37 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 16:40:26 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 16:40:34 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 16:40:36 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
